风速(m/s),风向,室外温度,电网有功功率
6.85,2.74,11.32,987.57
7.1,-0.35,11.34,"1,313.17"
7.25,0.84,11.36,"1,275.13"
7.4,4.92,11.3,"1,447.27"
7.49,3.72,11.19,"1,435.85"
7.7,5.16,11.06,"1,490.16"
7.09,-5.59,11.14,"1,541.19"
7.03,-6.54,10.99,"1,486.91"
6.96,-4.57,10.92,"1,340.17"
7.11,-3.06,10.9,"1,341.20"
7.58,0.41,10.83,"1,640.81"
7.4,1.13,10.74,"1,278.82"
6.94,-4.37,10.61,"1,385.90"
6.65,-3.65,10.82,"1,178.41"
6.71,-2.21,10.6,"1,088.80"
6.43,-1.31,10.66,960.81
6.67,-3.69,10.5,"1,009.24"
6.93,-6.29,10.65,"1,348.94"
7.04,-5.45,10.69,"1,400.27"
6.77,-6.24,10.89,"1,281.42"
6.94,-8.05,10.58,"1,196.99"
6.89,-5.01,10.61,"1,129.22"
6.48,-5.76,10.86,991.32
6.91,-6.7,10.87,"1,007.87"
6.62,-5.46,10.98,"1,001.44"
6.69,-3.3,11.27,"1,044.76"
6.92,-1.54,11.29,"1,144.02"
7.05,1.21,11.29,"1,104.57"
6.7,0.37,11.54,"1,011.34"
7.01,-2.17,11.39,"1,167.53"
6.9,-8.68,11.72,"1,100.30"
6.67,-2.4,13.67,"1,053.19"
7.1,-1.43,13.52,"1,094.97"
6.71,-2.89,13.66,976.34
6.52,-2.23,13.81,980.08
6.78,-0.84,13.85,"1,031.27"
6.38,2.45,13.73,682.04
6.29,-4,13.48,851.85
6.47,-1.23,14.38,932.47
6.75,-0.8,14.74,998.37
6.6,1.25,14.83,911.4
6.2,-1.65,14.68,786.86
6.21,-1.28,14.79,827.93
6.28,-1.95,14.93,838.17
6.15,2.39,15.44,794.28
6.48,2.36,15.29,858.18
6.65,-1.22,14.46,951.66
6.78,-1.62,14.33,"1,038.95"
6.44,-0.62,14.41,796.47
6.75,-4.5,14.01,"1,047.94"
6.37,-2.36,14.18,965.86
6.37,0.31,14.24,872.06
6.09,-0.69,14.59,769.39
5.95,0.06,14.59,731.87
5.38,0.28,14.84,598.59
4.92,0.5,15.9,414.46
4.42,-3.69,17.64,322.02
4.74,-7.35,17.42,355.81
4.3,-5.52,17.81,278.35
3.76,-6.25,18.74,198.76
4.1,0.57,16.29,160.35
3.77,3.3,15.48,175.64
3.67,1.94,16.3,135.91
2.49,-4.48,17.7,31.59
2.09,8.41,16.81,0
1.42,11.62,17.28,0
0.6,21.9,17.4,0
2.09,31.16,17.16,0
0.82,-33.17,22.04,0
0.33,-46.43,22.48,0
0.01,-42.16,23.58,0
0.01,-45.15,25.82,0
0.01,-49.79,24.68,0
0.02,-43.71,27.82,0
0.02,-51.55,24.84,0
0.01,-29.42,24.95,0
0.01,-41.37,24.38,0
0.01,-45.52,22.41,0
