风速(m/s),风向,室外温度,电网有功功率
4.34,-0.76,11.42,0
4.68,5.56,11.4,0
3.97,-0.06,11.42,0
4.18,4.5,11.39,0
4.03,-6.7,11.44,0
3.98,-9.89,11.5,0
3.51,72.13,19.13,0
3.47,92.1,19.08,0
6.03,83.86,18.94,0
10.01,76.59,18.79,0
12.4,73.48,18.45,0
14.22,71.42,18.12,0
12.89,74.65,18.16,0
13.83,72.54,18.02,0
14.85,68.28,18.12,0
14.84,69.76,18.08,0
14.62,70.62,18.32,0
13.9,69.93,18.33,0
13.77,70.98,18.31,0
12.19,72.79,18.6,0
10.92,73.72,19.83,0
11.02,69.72,20.32,0
10.49,67.5,19.89,0
9.65,69.97,22.31,0
9.34,73.02,22.63,0
9.74,72.57,22.53,0
10.09,71.89,22.48,0
10.87,69.9,22.26,0
9.94,68.11,22.18,0
9.88,67.22,22.76,0
9.83,69.64,22.43,0
9.25,70.06,22.49,0
9.08,70.02,22.27,0
8.88,70.2,21.84,0
9.26,69.81,21.94,0
8.27,16.35,20.67,419.68
7.58,-4.96,19.96,800.66
7.74,-3.33,19.99,922.47
7.65,-6.77,19.64,938.74
7.41,-3.77,19.68,936.8
7.23,-4.03,19.38,"1,099.71"
7.98,-7.48,18.79,"1,711.66"
8.72,-3.7,18.32,"2,090.15"
9,0.91,18.24,"2,323.89"
8.51,-1.87,17.51,"2,185.07"
9.12,-0.32,17.28,"2,471.76"
9.05,-2.34,17.21,"2,624.68"
8.41,-1.77,17.14,"2,136.09"
7.91,0.13,17.14,"1,720.84"
7.52,1.78,17.07,"1,446.16"
6.69,-1.89,17,"1,063.68"
6.92,1.88,16.72,"1,051.04"
7.48,4.26,16.76,"1,182.41"
8.07,-1.88,16.47,"1,703.71"
7.95,-2.19,16.74,"1,799.15"
9.49,-3.73,16.69,"2,630.67"
9.83,-2.38,16.69,"2,914.73"
9.81,-1.54,16.7,"2,901.25"
9.41,-3.21,16.65,"2,740.74"
7.59,-4.06,16.9,"1,649.40"
7.38,-1.86,16.92,"1,533.91"
9.2,-0.87,16.71,"2,472.30"
8.24,-3.8,16.65,"1,976.31"
8.18,-2.49,16.31,"1,895.81"
9.46,-1.19,16.12,"2,562.86"
9.45,-2.34,16.1,"2,655.96"
9.65,-1.67,16.04,"2,184.68"
11.18,-4.43,15.88,"3,055.03"
10.83,-2.56,15.97,"3,050.41"
11.02,3.07,15.87,"3,042.67"
10.89,4.16,15.84,"3,029.92"
10.93,5.43,15.74,"3,009.02"
9.6,0.3,15.77,"2,756.24"
10.03,-1.92,15.81,"2,874.66"
9.09,-3.94,15.98,"2,524.41"
9.13,-5.96,16.34,"2,535.17"
9.07,-0.82,16.18,"2,259.66"
8.96,0.19,15.94,"2,248.20"
9.75,-0.02,15.88,"2,669.73"
10.15,2.44,15.7,"2,858.28"
11.01,6.45,15.48,"2,972.86"
11.18,4.91,15.53,"3,055.56"
13.52,6.08,15.63,"3,054.82"
13.01,4.85,15.72,"3,053.80"
12.56,2.28,15.72,"3,053.16"
11.3,-4.32,15.78,"3,052.69"
9.66,-6.97,15.96,"2,890.77"
9.62,-4.33,15.97,"2,670.75"
10.88,0.61,15.63,"3,053.16"
11.58,5.68,15.47,"3,052.58"
12.5,6.31,15.44,"3,052.35"
12.23,3.92,15.41,"3,051.79"
12.59,6.51,15.42,"3,051.70"
12.93,6.76,15.34,"3,051.47"
11.65,-0.29,15.24,"3,051.21"
11.66,3.2,15.33,"3,051.03"
11.64,3.13,15.4,"3,050.50"
10.72,-2.66,15.57,"3,049.78"
11.89,-1.71,15.54,"3,050.88"
12.33,-4.7,15.45,"3,050.86"
11.61,-8.03,15.43,"3,050.92"
10.92,-6.51,15.44,"3,050.57"
10.68,-4.97,15.41,"3,050.35"
10.41,2.65,15.24,"2,913.73"
8.57,1.26,15.26,"2,080.71"
7.6,-2.62,15.41,"1,615.50"
7.06,-0.61,15.38,"1,338.19"
6.7,0.69,15.25,"1,122.90"
6.61,0.58,14.98,"1,035.55"
6.98,-1.93,15.1,"1,268.97"
7.24,3.58,14.78,"1,214.39"
6.83,2.24,14.88,"1,088.58"
6.29,-5.11,15.1,937.84
6.93,3.23,14.7,"1,008.63"
6.17,0.66,14.85,816.28
6.44,-6.4,14.84,986.99
6.3,-1.5,14.58,860.35
5.66,-4.84,14.75,742.4
5.52,-4.43,14.51,682.96
5.48,-0.97,14.53,605.52
4.23,5.7,14.55,235.04
5.2,-5.63,14.92,512.39
4.79,0.81,14.62,374.04
3.96,3.31,14.39,195.48
3.83,-4.63,14.56,156.19
3.79,-4.22,14.62,185.07
6.23,-2.72,14.4,819.12
6.54,-5.46,14.5,"1,013.87"
6.48,4.13,14.67,807.83
6.55,6.1,14.5,803.78
6.97,1.84,14.46,"1,059.46"
8.51,-1.14,14.81,"2,028.05"
7.82,-4.73,14.89,"1,466.14"
9.6,-4.35,14.77,"2,855.50"
9.89,-0.18,14.86,"3,043.85"
9.76,-6.24,14.99,"2,971.64"
9.82,-6.06,14.95,"3,030.26"
11.02,1.38,14.56,"3,028.53"
11.18,3.74,14.22,"3,052.90"
10.96,2.06,14.26,"3,051.77"
11.83,4.97,14.73,"3,050.82"
11.54,1.87,15.2,"3,049.93"
11.5,2.55,15.2,"3,049.05"
11.37,3.79,15.18,"3,048.16"
10.89,2.52,15.07,"3,048.00"
10.65,-0.85,14.86,"3,047.41"
10.48,-3.75,14.83,"3,046.83"
10.16,-4.74,15.22,"3,046.29"
10.68,-5.69,15.1,"3,044.95"
10.64,-3.84,15.28,"3,045.61"
10.98,-4.72,15.15,"3,045.60"
10.77,-3.23,15.32,"3,045.41"
10.74,-2.54,15.41,"3,045.16"
10.33,-3.81,15.5,"3,043.33"
10,-3.84,15.59,"3,003.81"
9.93,-5.75,15.7,"3,033.51"
9.8,-3.99,15.88,"3,012.39"
9.51,-3.82,16.1,"2,892.96"
9.81,-1.56,16.21,"2,966.86"
9.66,-2.94,16.3,"2,856.24"
9.21,-5.24,16.53,"2,636.39"
9.85,-3.37,16.21,"2,806.39"
9.6,0.11,16.33,"2,781.78"
9.79,2.09,16.3,"2,805.26"
10.08,0.14,16.35,"2,956.73"
10.43,1.73,16.34,"3,015.43"
10.78,3.89,16.4,"3,032.15"
10.2,-0.43,16.5,"2,978.63"
10.02,-7.01,16.42,"3,022.54"
10.14,-5.37,16.54,"3,001.55"
10.25,-3.96,16.55,"3,031.57"
10.87,-6.95,16.37,"3,050.17"
10.67,-4.1,16.51,"3,049.71"
10.5,-1.1,16.68,"3,049.76"
10.41,-0.84,16.66,"3,046.43"
10.54,1.52,16.68,"3,042.60"
10.49,1.09,16.74,"3,049.17"
10.26,0.33,16.74,"3,028.53"
10.26,-1.29,16.81,"3,042.80"
9.88,-2.49,16.86,"2,953.90"
10.16,-0.13,16.85,"2,978.82"
10.33,-0.06,16.82,"3,032.25"
9.98,-2.28,16.89,"2,951.17"
10.05,-1.47,16.89,"3,007.45"
10.22,-1.52,16.89,"3,039.19"
10.64,1.7,16.86,"3,049.01"
10.67,2.64,16.75,"3,047.81"
9.52,-4.28,16.74,"2,828.91"
9.36,-5.05,16.51,"2,700.96"
9.09,-2.88,16.36,"2,475.43"
9.25,-3.53,16.2,"2,071.81"
9.97,-4.68,16.08,"2,972.58"
10,-7.45,15.94,"2,806.22"
9.76,-6.93,15.89,"2,814.71"
9.29,-6.18,15.82,"2,637.89"
8.93,-5.15,15.76,"2,390.10"
9.25,-6.49,15.7,"2,488.09"
9.31,-6.74,15.64,"2,521.31"
9.35,-6.8,15.52,"2,519.25"
9.33,-6.48,15.46,"2,478.97"
9.66,-6.53,15.43,"2,762.10"
9.58,-5.41,15.28,"2,865.01"
10.18,-6.24,14.94,"2,994.76"
10.61,-6.09,14.86,"3,053.96"
10.75,-4.36,15.07,"3,053.43"
10.94,-2.2,15.05,"3,053.09"
10.52,-1.71,14.97,"3,052.74"
10.74,0.03,14.79,"3,052.69"
10.88,0.68,14.68,"3,052.22"
10.49,0.66,14.46,"3,051.23"
10.81,3.23,14.36,"3,016.18"
10.34,1.08,14.55,"2,987.42"
10.57,0.44,14.43,"3,042.44"
10.95,5.27,14.95,"3,040.25"
11.72,7.42,14.87,"3,050.01"
11.24,5.93,14.81,"3,049.00"
11.33,5.95,14.72,"3,050.90"
11.36,5.8,14.52,"3,050.59"
10.86,3.79,14.42,"3,049.37"
10.9,6.88,14.31,"2,995.40"
10.25,3.95,14.35,"2,925.08"
9.69,2.61,14.27,"2,649.85"
9.2,3.61,14.31,"2,065.10"
9.09,2.2,14.19,"2,430.28"
9,0.59,13.95,"2,371.58"
9.33,3.23,13.81,"2,485.08"
9.38,0.33,13.67,"2,522.56"
9.09,-8,13.9,"2,544.73"
9.52,0.72,13.64,"2,568.36"
9.26,3.79,13.39,"2,418.68"
8.79,2.5,13.29,"2,111.88"
8.63,-1.24,13.3,"2,221.66"
8.87,-3.09,13.34,"2,370.10"
8.83,-3,13.4,"2,363.32"
8.86,3.89,13.17,"1,766.51"
9.62,2.98,12.91,"2,591.94"
10.46,6.49,12.67,"2,871.32"
10.85,3.95,12.52,"3,057.43"
10.73,3.73,12.57,"3,013.47"
9.58,-3.82,12.74,"2,879.19"
9.93,-1.37,12.23,"2,959.14"
10.24,-1.96,12.05,"3,049.70"
10.11,-3.91,12.05,"3,044.12"
10.22,-1.17,12.18,"3,043.82"
10.22,-1.96,11.94,"3,034.44"
10.22,1.72,11.72,"3,018.14"
10.26,1.66,11.67,"2,996.57"
10.48,3.56,11.61,"3,009.12"
10.52,4.43,11.58,"3,036.68"
10.6,2.88,11.34,"3,054.54"
10.66,3.23,11.24,"3,051.23"
10.58,1.6,11.16,"3,048.33"
10.44,2.7,11.23,"2,990.82"
10.18,3.12,11.14,"2,945.62"
10.16,4.37,11.04,"2,909.77"
10.04,2.31,10.93,"2,743.35"
9.12,0.53,11.17,"2,467.61"
9.26,-1.5,11.18,"2,549.92"
8.67,-3.62,11.02,"2,370.06"
9.52,-4.03,10.83,"2,697.22"
9.52,1.26,10.81,"2,655.63"
9.54,2.03,10.91,"2,521.51"
8.82,0.56,10.99,"1,806.26"
8.51,-2.32,10.58,"1,892.69"
8.95,-1.19,10.76,"2,313.03"
9,-0.35,10.72,"2,396.75"
8.99,1.31,10.67,"2,269.10"
8.95,0.28,10.7,"2,269.55"
8.5,4.52,10.79,"1,890.75"
8.6,3.96,10.59,"1,932.18"
8.13,0.59,10.71,"1,864.56"
8.21,0.72,10.87,"1,922.85"
8.24,0.96,10.78,"1,866.13"
8.02,0.72,11.15,"1,713.54"
7.79,0.49,11.16,"1,655.44"
7.75,3.8,11.6,"1,259.54"
7.78,3.35,11.78,"1,564.99"
7.85,1.12,11.74,"1,711.25"
8.24,-3.21,12.11,"1,992.28"
8.16,-2.14,12.08,"1,878.64"
8.16,-1.08,12.52,"1,934.38"
8.52,2.69,12.48,"1,900.51"
8.4,4.07,12.83,"1,832.36"
7.94,3.03,12.95,"1,667.04"
7.8,3.84,13.22,"1,553.41"
8.27,-0.05,13.24,"1,871.90"
8.7,5.01,13.3,"1,988.70"
7.7,-2.97,12.44,"1,241.82"
7.96,-1.72,12.36,"1,731.34"
8.09,-1.12,12.37,"1,830.90"
8.06,-2.63,12.13,"1,845.54"
7.9,-1.24,12.44,"1,773.64"
7.77,-5.82,12.66,"1,773.45"
8.03,1.87,12.97,"1,642.97"
7.91,-0.07,12.84,"1,625.03"
8.03,5.65,13.14,"1,604.94"
7.74,3.84,13,"1,516.20"
7.14,0.68,13.02,"1,302.49"
7,-1.15,13.38,"1,296.11"
7.44,0.81,13.07,"1,294.47"
7.29,-1.04,12.92,"1,319.82"
7.16,-1.45,13.23,"1,457.98"
7.42,0.67,13.2,"1,423.96"
7.23,-3.86,13.2,"1,437.18"
7.31,1.65,13.48,"1,338.16"
7,2.14,13.43,"1,159.35"
6.68,-2.07,13.35,"1,082.65"
6.72,1.42,13.64,994.37
6.61,-1.74,13.63,"1,001.55"
6.26,-1.73,13.9,948.14
6.2,-1.87,14.64,915.44
6.23,0.34,14.31,891.6
6.33,0.84,14.11,726.24
6.09,3.34,14.39,763.41
5.86,2.52,14.84,701.8
5.6,-0.66,15.09,595.22
5.58,1.99,15.01,573.01
4.68,1,15.18,380.2
4.96,4.7,15.34,380.06
5,5.51,15.35,371.35
4.54,3.57,15.5,322.37
4.64,1.47,15.58,331.67
4.04,4.05,15.84,205.7
3.41,1.3,16.05,165.76
3.71,1.92,15.99,133.16
3.56,0.25,15.91,140.94
2.4,-1.02,16.22,32.25
2.08,3.27,16.26,0
0.37,6.96,15.99,0
0.6,7.14,15.53,0
1.58,7.36,15.32,0
1.64,-11.39,15.15,0
0.54,-5.96,14.56,0
0.01,7.22,14.13,0
0.1,10.1,13.85,0
0.46,35.41,13.67,0
1.26,61.56,13.57,0
1.9,16.08,13.37,0
2.19,0.59,13.23,0
0.4,0.2,13.25,0
2.77,12.44,13.13,7.67
4.55,1.94,13.12,172.98
4.36,3.06,13.04,177.44
4.2,0.02,13.23,161.3
4.01,-6.58,13.21,109.07
3.65,-4.61,13.11,78.38
3.3,-5.98,13.24,49.21
3.39,-2.74,13.19,44.5
3.27,-5.58,13.17,38.28
2.84,-4.06,13.21,17.58
2.33,0.61,13.48,0.93
2.17,-3.03,13.16,0
2.08,0.78,12.95,0
2.56,6.07,12.83,0
2.45,1.84,12.75,0
2.38,-6.7,12.7,0
2.3,-6.92,12.68,0
2.14,3.92,12.69,0
2.13,9.35,12.72,0
2.36,14.26,12.74,0
2.34,14.92,12.65,0
2.09,6.91,12.63,0
2.64,7.46,12.63,0
3.97,-2.37,12.65,84.69
3.98,0.37,12.75,120.88
3.93,0.66,12.79,112.39
4.1,-1.55,12.94,125.75
4.06,-0.39,13,128.07
4.08,-0.01,12.89,134
4.24,1.23,12.9,152.63
4.21,-3.09,13.01,147.71
4.06,-2.71,13.08,127.15
3.66,2.54,13.01,89.81
4.31,-3.15,12.96,147.93
5.18,-1.37,13.18,276.49
4.95,2.13,13.31,243.92
5.04,-4.71,13.22,272
4.64,-7.09,13.12,175.7
4.47,-6.99,13.2,142.2
4.61,-2.15,13.26,184.15
4.69,-2.95,13.31,184.37
4.48,-9.58,13.5,133.08
3.61,1.59,13.41,84.26
3.59,-4.22,13.41,56.24
3.43,-4.4,13.2,52.74
3.18,-3.19,13.27,29.99
2.61,2.55,13.52,3.77
2.45,-0.77,13.26,0
4.32,-1.56,12.98,116.04
4.84,-0.92,13.17,227.3
5.23,3.36,13.13,299.04
5.79,0.73,12.94,423.7
6.42,-8.26,12.93,600.86
6.94,6.51,12.79,722.17
6.57,-5.89,12.78,648.81
6.49,3.72,12.87,573.13
6.44,4.48,12.82,600.55
6.3,-2.73,12.84,605.12
6.09,3.92,12.92,524.79
6.13,-1.19,12.97,547.55
5.1,1.01,13.41,266.12
4.75,1.81,13.11,224.49
4.85,4.7,12.89,227.69
5.39,-0.31,12.75,301.06
5.53,-3.92,12.76,380.55
7.24,0.45,12.5,898.14
7.39,-4.16,12.46,948.74
6.68,-1.94,12.41,742.93
7.1,3.81,12.45,891.51
8.43,3.91,12.62,"1,456.90"
7.6,-4.29,13.04,"1,091.44"
6.43,-4.03,12.75,597.3
6.91,0.46,12.57,642.2
7.12,-2.5,12.61,993.49
6.89,-0.72,12.74,875.58
6.61,2.63,12.83,766.68
6.62,0.92,12.87,712.12
6.33,-3.98,13.22,595.48
5.66,-7.01,13.39,368.21
5.86,2.2,13.13,407.63
5.58,7.06,13.12,362.05
5.7,1.53,13.24,348.37
5.76,-6.9,13.45,388.07
4.03,-2.13,13.89,115.9
3.82,1.3,13.99,91.42
4.08,3.36,13.88,134.58
3.78,-0.71,14.04,101.55
3.93,3.43,14.17,105.35
5.74,3.46,13.92,455.32
6.25,4.39,14,562.31
5.67,2.26,14.06,421.75
5.62,-2.19,14.38,431.09
5.47,-0.07,14.72,392.78
4.02,3.84,14.61,98.1
4.28,-6.45,14.69,121.78
3.59,-7.75,16.35,49.53
3.38,-2.2,15.95,59.91
3.18,0.37,16.22,0
3.02,2,16.44,0
2.39,7.64,16.58,0
2.88,6.55,16.49,0
2.73,15.42,17.41,0
3.37,-0.13,17.02,0
3.71,1.86,16.37,0
4.2,-2.12,15.68,74.38
3.84,-0.78,15.78,121.54
3.13,5.61,16.78,51.86
2.74,-0.58,17.38,9.12
2.84,3.25,17.6,15.76
2.81,6.64,18.24,13.28
2.15,-3.87,19.01,0
1.82,-5.9,21.5,0
1.28,6.89,24.58,0
1.32,-16.46,22.67,0
1.48,-13.47,24.24,0
1.13,-32.07,21.78,0
0.59,31.75,21.33,0
1.48,93.5,19.07,0
1.85,74.66,18.7,0
1.68,89.59,20.66,0
2.65,71.28,22.8,0
4.94,-1.37,16.56,163.14
4.93,-0.09,15.64,233.04
4.95,0.22,16.11,298.84
5.77,6.31,15.96,424.18
5.39,-2.15,17.13,344.92
5.31,0.15,16.3,331.56
5.49,-0.75,15.22,375.66
5.71,3.68,15.18,444.9
6.32,-0.98,15.1,637.44
5.86,-4.28,15.31,531.44
6.34,-6.11,14.54,577.97
6.04,-2.92,14.92,613.28
6.43,-2.82,14.6,507.07
6.4,-2.12,15.15,677.07
6.2,-2.67,14.9,631.91
6.35,-3.91,15.12,646.8
6.43,1.62,14.75,724.08
6.23,2.75,14.75,635.44
6.07,-2.9,14.92,569.02
6.06,-5,14.68,494.19
6.01,0.78,15.03,598.96
6.96,5.19,15.01,794.77
6.73,4.43,14.91,749.17
6.57,3.64,15.31,716.22
7.57,0.28,14.92,756.5
7.21,-6.73,15.22,"1,012.28"
7.85,-1.89,15.11,"1,299.04"
7.75,-5.79,15.25,"1,379.57"
8.87,-4.73,15.42,"2,044.47"
9.49,-4.55,15.63,"2,312.34"
9.23,-6.26,15.97,"2,092.54"
9.65,-5.11,16.09,"2,627.57"
8.82,-4.27,16.21,"2,016.47"
8.45,-0.85,16.05,"1,756.63"
7.99,-5.1,15.7,"1,217.20"
6.79,-2.9,15.49,761.87
6.45,-1.14,15.61,501.9
6.6,-0.34,15.4,655.52
6.76,-1.98,15.51,675.3
6.34,3.99,15.63,590.03
7.53,-4.7,15.92,"1,056.78"
8.17,-5.59,16.08,"1,366.76"
7.34,-0.12,15.65,"1,177.95"
7.82,-2.12,15.86,"1,370.36"
8.27,-4.17,15.81,"1,655.60"
8.47,-3.3,15.73,"1,615.24"
8.49,-1.64,15.69,"1,524.34"
8.5,-4.32,15.98,"1,546.23"
7.64,-5.31,16.37,"1,112.14"
7.43,-0.21,15.86,985.97
6.53,0.43,15.8,671.49
7.1,-0.57,15.56,952.87
7.34,0.82,15.55,"1,023.79"
7.15,-1.32,15.58,999.21
7.17,-5.78,15.43,951.95
7.22,-6.04,15.99,985.9
6.64,-5.69,15.74,750.85
7.28,-5.27,15.86,948.8
7.12,0.47,15.47,956.06
7.35,-1.97,15.6,"1,124.33"
7.62,-1.16,15.28,"1,137.50"
7.93,2.18,15.46,"1,202.58"
8.81,1.53,15.41,"1,836.79"
8.4,2.34,15.67,"1,647.47"
7.72,-5.74,16.01,"1,218.48"
6.92,-3.6,15.83,891.12
5.32,-3.89,15.75,387.13
4.36,2.97,15.4,161.63
4.71,-4.73,15.36,166.55
5.88,1.97,15.3,421.95
7.9,7.17,15.31,"1,019.78"
8.32,1.68,15.69,"1,294.77"
8.93,0.82,16.07,"1,848.28"
8.78,0.16,16.1,"1,411.62"
8.2,-5.86,16.4,"1,503.75"
7.52,-3.17,16.45,"1,079.67"
8.04,6.63,15.8,"1,149.75"
8.43,2.08,16.03,"1,575.86"
7.88,-2.62,16.31,"1,570.61"
7.6,-3.28,16.08,"1,276.70"
8.1,1.71,15.99,"1,379.24"
8.44,1.38,16.03,"1,462.33"
8.63,3.79,16.04,"1,654.75"
8.34,-0.47,16.17,"1,605.82"
8.73,-0.15,15.94,"1,978.57"
8.61,-3.97,15.89,"1,657.37"
8.4,-5.92,15.62,"1,470.07"
6.82,-2.13,16,898.77
7.08,2.18,15.72,921.93
7.71,4.86,15.94,"1,125.95"
7.27,3.9,15.88,910.69
7.29,-6.19,16.28,855.26
6.42,-6.72,16.21,654
5.44,-0.27,16.5,336.47
3.73,-14.3,16.44,76.34
2.77,-15.66,16.49,6.72
2.96,5.66,15.91,0
3.19,0.14,15.47,0
2.83,5.32,15.49,0
3.28,5.07,15.36,0
3.04,5.12,15.45,0
3.29,9.1,15.43,0
3.04,3.08,15.5,0
2.59,-0.88,15.46,0
2.59,19.11,15.93,0
1.33,-1.88,15.85,0
2.26,-32.12,15.46,0
3.13,-5,15.7,0
3.05,-1.06,15.52,0
2.78,3.05,15.46,0
4.24,-0.47,15.56,71.23
3.96,0.57,15.51,109.31
4.43,1.9,16.33,176.5
4.36,-0.26,16.36,152.5
4,-6.2,16.69,117.53
3.54,4.94,16.97,70.84
3.21,0.64,17.67,54.54
3.21,0.86,17.95,51.1
4.04,-1.37,17.53,116.03
3.89,0.84,17.5,100.7
3.77,-3.98,17.98,102.12
4.26,4.33,17.75,150.42
4.72,1.28,17.31,168.07
5.14,-1.62,17.54,303.07
4.87,-2.53,18.71,281.23
5.19,0.96,18.81,367.99
4.54,-0.39,18.86,233.56
4.95,4.84,19.47,270.45
4.91,5.06,19.61,332.37
4,-7.02,20.13,146.27
3.48,1.77,20.29,85.89
3.3,-1.86,20.53,67.12
2.68,-3.58,20.78,28.81
2.32,-1.95,21.05,0
2.16,28.34,21.71,0
2.52,27.19,21.55,0
2.23,28.7,21.74,0
2.22,15.69,22.05,0
2.59,-5.27,22.4,0
2.25,17.44,22.01,0
2.41,17.14,21.29,0
2.12,-3.18,20.53,0
2.07,-27.56,20.88,0
2.15,19.35,21.45,0
2.13,12.01,25.41,0
1.92,-14.97,23.68,0
1.81,-59.19,21.3,0
1.56,-71.91,18.82,0
1.35,-67.3,18.79,0
1.45,-52.05,20.61,0
0.82,-46.93,21.12,0
0.99,-45.28,22.31,0
1.69,-48.55,19.43,0
1.45,-49.15,18.87,0
1.87,-36.32,18.1,0
2,4.22,17.62,0
2.51,38.69,17.4,0
2.73,-4.59,16.69,0
2.44,-1,16.5,0
2.63,-5.4,16.43,0
3.82,3.37,16.1,0
4.97,-3.78,15.88,158.01
5.17,-0.63,15.9,321.71
4.05,-6.81,16.26,176.1
4.15,3.88,16.64,165.6
4.17,-3.25,17.04,156.34
3.52,1.48,16.98,102.26
2.11,-13.49,17.64,15.79
1.33,-46.78,17.82,0
1.52,-98.36,17.21,0
1.63,-98.79,17,0
1.75,-114.23,17.17,0
1.35,-137.26,17.14,0
0.92,-38.08,17.1,0
1.53,-26.03,17.05,0
1.06,83.7,17.12,0
0.92,106.97,17.23,0
0.84,121.15,17.31,0
1.28,66.38,17.37,0
2.45,32.08,17.4,0
2.23,-0.21,17.3,0
2.38,-6,17.3,0
2.5,3.14,17.3,0
4.5,-5.96,17.38,105.67
5.76,2.38,17.29,446.83
5.75,-3.63,17.57,462.44
6.47,-6.36,17.24,484.35
6.77,-7.02,17.4,546.95
6.43,-2.01,17.35,538.4
6.6,-0.27,17.39,586.35
6.18,-5.67,17.57,418.08
6.33,-5.71,17.36,464.66
6.27,-6.92,17.46,481.6
5.27,-3.38,17.31,265.67
5.85,4.1,16.98,324.53
6.26,-0.13,17.05,380.55
5.97,-0.11,17.2,411.64
6.19,-3.6,17.2,432.73
6.2,-1.6,17.25,477.54
5.67,1.55,17.21,361.65
5.99,1.71,17.12,401.89
5.91,-3.54,17.16,378.64
6.43,-7.14,17.45,474.14
6.36,-8.04,17.63,491.51
6.67,0.23,17.55,675.79
6.23,-4.64,17.99,515.9
4.91,1.87,17.58,244.07
4.51,-7.16,17.62,125.71
3.15,-5.76,17.84,32.26
2.59,-0.66,17.95,13.02
2.12,2.16,17.68,0
2.16,4.35,17.93,0
2.2,-29.31,17.69,0
3.77,6.34,17.18,87.67
5.34,-5.27,16.62,335.86
5.65,0.61,16.68,437.96
6.45,5.8,16.63,624.41
6.21,5.04,16.33,569.75
5.98,6.85,16.71,484.04
4.95,0.07,17.12,333.87
4.54,-0.04,17.2,237.78
4.87,-0.52,17.54,291.18
5.33,-0.91,17.31,322.42
5.2,4.29,17.42,357.04
3.66,2.47,17.01,70.01
2.89,-9.44,17.32,15.96
2.5,-22.87,16.87,0.73
2.24,15.78,16.62,0
1.65,3.85,16.71,0
1.21,-17.37,16.78,0
1.17,-3.39,16.8,0
2.4,25.51,16.86,0
2.12,-4.11,16.75,0
1.45,-14.51,16.68,0
1.35,-34.67,16.61,0
2.28,-32.85,16.59,0
2.58,-15.46,16.6,0
2.69,6.42,16.78,0
3.1,7.98,16.83,0
3.04,5.25,16.84,0
2.51,-8.22,16.64,0
2.43,5.55,16.4,0
2.71,5,16.54,0
2.49,-9.86,17.02,0
2.94,-5.79,17.01,0
2.48,-6.71,17.21,0
2.51,8.49,17.39,0
2.09,8.59,17.7,0
2.66,7.09,17.92,0
3.07,6.39,17.9,0
3.24,-6.92,17.77,0
2.54,10.55,17.74,0
2.3,17.62,18.06,0
2.2,5.94,18.46,0
2.64,0.91,18.38,0
2.86,4.05,18.51,0
3.18,-1.42,18.37,0
3.52,33.26,18.85,0
2.8,0.05,19.55,0
3.79,-13.11,19.64,0
4.25,-0.09,22.12,0
4.31,7.26,23.52,0
4.4,-56.55,20.27,0
3.95,167.15,18.46,0
3.8,46.41,18.46,0
3.71,153.52,18.42,0
2.4,114.89,18.56,0
1.72,93.87,18.35,0
2.69,78.48,18.26,0
4.7,162.96,18.68,0
4.68,-45.93,18.55,0
4.7,-156.07,18.73,0
5.19,-163.09,18.8,0
4.99,-157.75,18.78,0
3.02,-24.54,20.02,0
1.7,8.35,21.47,0
3.42,-5.72,22.02,0
3.81,-4.11,22.03,0
3.38,-2.76,22.51,0
2.84,-6.71,24.12,0
3.01,-21.45,26.03,0
2.56,-35.19,26.91,0
2.23,-40.13,28.76,0
1.3,-29.89,31.71,0
1.04,-12.35,33.87,0
1.19,-48.63,31.6,0
0.48,-19.6,37.55,0
0.47,-86.92,35.13,0
1.42,-63.23,31.42,0
1.03,-68.29,29.53,0
0.68,-51.69,36.27,0
0.79,-35.51,37.64,0
0.96,-12.62,34.28,0
0.94,12.34,36.15,0
0.82,27.61,33.58,0
0.36,13.25,27.86,0
0.33,48.62,25.78,0
0.31,134.81,23.72,0
0.4,117.25,22.5,0
0.59,20.62,21.39,0
0.5,-108.28,20.87,0
0.77,-67.82,20.26,0
0.84,-34,20.03,0
1.19,-32.42,19.56,0
1.53,-32.87,19.25,0
1.82,-35.37,19.16,0
1.79,-36.94,19.26,0
1.64,-19.33,19.28,0
1.62,-19.68,19.28,0
1.63,-4.01,19.27,0
1.72,0.45,19.27,0
2.22,4.83,19.2,0
2.7,4.6,19.16,0
3.07,1.92,19.07,0
3.97,-3.8,18.97,0
4.73,-4.79,19,19.64
6.19,-4.61,19.29,351.62
6.8,-5.34,19.74,555.34
6.75,-5.98,19.86,566.68
6.08,-1.41,19.69,427.11
6.27,-4.94,19.97,432.86
6.52,-2.07,19.99,505.08
6.33,1.32,19.84,562.45
6.53,-1.84,19.93,577.43
6.85,-3.9,19.79,663.48
7.13,-3.63,19.99,729.22
6.77,2.64,19.86,664.23
6.56,2.7,19.72,561.06
6.27,1.13,19.8,481.38
6.42,-5.81,19.73,593.44
6.39,-3.55,19.31,572.03
6.48,-1.39,19.26,595.88
6.77,1.3,19.01,684.19
6.42,3.06,18.84,587.58
6.59,-5.22,18.98,637.04
6.61,-8.17,18.95,624.19
6.72,-4.13,18.83,650.85
6.76,-1.25,18.65,699.26
7.6,-2.69,18.69,"1,019.45"
8.97,-6.85,18.64,"1,717.38"
8.37,-6.9,18.67,"1,215.15"
8.06,-8.93,18.63,"1,332.00"
